turn_id,pause_index,p_eot
hi__000,0,0.107998
hi__000,1,0.405367
hi__000,2,0.653794
hi__001,0,0.464618
hi__001,1,0.401980
hi__002,0,0.538850
hi__003,0,0.313203
hi__004,0,0.454898
hi__005,0,0.214478
hi__005,1,0.709738
hi__006,0,0.146560
hi__006,1,0.600645
hi__006,2,0.576548
hi__007,0,0.237294
hi__007,1,0.612049
hi__007,2,0.554014
hi__007,3,0.393951
hi__007,4,0.407774
hi__007,5,0.677987
hi__008,0,0.619778
hi__009,0,0.474032
hi__010,0,0.201484
hi__010,1,0.214922
hi__010,2,0.396239
hi__010,3,0.652240
hi__011,0,0.398689
hi__011,1,0.338170
hi__011,2,0.718948
hi__012,0,0.308643
hi__012,1,0.356516
hi__012,2,0.593466
hi__012,3,0.622368
hi__012,4,0.601488
hi__012,5,0.631601
hi__013,0,0.580315
hi__014,0,0.334839
hi__014,1,0.390293
hi__014,2,0.512897
hi__014,3,0.528369
hi__014,4,0.508610
hi__014,5,0.362523
hi__015,0,0.776060
hi__016,0,0.606276
hi__017,0,0.588864
hi__017,1,0.551549
hi__018,0,0.370368
hi__018,1,0.520161
hi__018,2,0.540053
hi__019,0,0.487334
hi__019,1,0.256143
hi__019,2,0.552935
hi__019,3,0.458941
hi__019,4,0.457236
hi__020,0,0.443213
hi__020,1,0.752441
hi__021,0,0.574012
hi__022,0,0.176991
hi__022,1,0.295459
hi__022,2,0.602702
hi__022,3,0.452220
hi__022,4,0.584299
hi__022,5,0.493728
hi__022,6,0.645870
hi__022,7,0.565141
hi__023,0,0.611268
hi__024,0,0.499790
hi__025,0,0.288580
hi__025,1,0.324371
hi__025,2,0.452271
hi__026,0,0.495153
hi__027,0,0.165065
hi__027,1,0.675940
hi__028,0,0.291751
hi__028,1,0.503105
hi__029,0,0.497306
hi__029,1,0.288464
hi__029,2,0.484907
hi__029,3,0.581328
hi__030,0,0.592871
hi__031,0,0.150300
hi__031,1,0.294514
hi__032,0,0.575029
hi__032,1,0.547944
hi__033,0,0.397428
hi__033,1,0.525993
hi__033,2,0.137486
hi__034,0,0.496469
hi__034,1,0.501602
hi__034,2,0.593455
hi__035,0,0.571965
hi__036,0,0.777640
hi__036,1,0.457454
hi__036,2,0.478820
hi__036,3,0.585335
hi__036,4,0.574469
hi__036,5,0.620064
hi__036,6,0.744187
hi__037,0,0.299699
hi__037,1,0.099866
hi__037,2,0.715157
hi__038,0,0.285795
hi__038,1,0.255149
hi__038,2,0.569053
hi__038,3,0.682382
hi__039,0,0.599230
hi__040,0,0.458916
hi__040,1,0.268669
hi__040,2,0.553947
hi__041,0,0.564798
hi__041,1,0.664994
hi__042,0,0.546860
hi__042,1,0.873952
hi__043,0,0.429577
hi__043,1,0.494253
hi__044,0,0.390539
hi__044,1,0.634343
hi__045,0,0.488352
